厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
火币全球站,https://www.huobi.co/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
币安网,https://www.binance.com/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
Coinbase Pro,https://pro.coinbase.com/,A,8,无上限,无上限,2.62 ETH,0.56 ETH
OKEX,https://www.okex.com,A,8,无上限,无上限,2.62 ETH,0.56 ETH
BitMEX,https://www.bitmex.com/,A,8,无上限,无上限,2.62 ETH,0.56 ETH
Bitfinex,https://www.bitfinex.com,A,8,无上限,无上限,2.62 ETH,0.56 ETH
ZB网,https://www.zb.com,A,8,无上限,无上限,2.62 ETH,0.56 ETH
B网(Bittrex),https://bittrex.com,A,8,无上限,无上限,2.62 ETH,0.56 ETH
K网(Kraken),https://www.kraken.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
bitFlyer,https://bitflyer.jp/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bitstamp,https://www.bitstamp.net,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bithumb,https://www.bithumb.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
HitBTC,https://hitbtc.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Liquid,https://www.liquid.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Upbit,https://upbit.com/home,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
MXC,https://www.mxc.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
gate.io,https://gateio.news/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
BiKi,https://www.biki.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bibox,https://www.bibox.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
IDAX,https://www.idax.pro/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
ZBG,https://www.zbg.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
BigONE,https://big.one,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
ZG.com,https://www.zg.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
P网(Poloniex),https://poloniex.com,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
Bitget,https://www.bitget.cc/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
Bit-Z,https://www.bitz.top/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
KuCoin,https://www.kcs.top/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BKEX,https://www.bkex.vip,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
双子星,https://gemini.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
CoinTiger,https://www.cointiger.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
雷盾交易所,https://www.loex.io,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BIONE,https://www.bione.cc/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BitMart,https://www.bitmart.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BITKER,https://www.bitker.biz/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
LBank,https://www.lbkex.co/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
ZZEX,https://www.zzex.me/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
DigiFinex,https://www.digifinex.com,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
ZG.TOP,https://www.zg.top/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BG交易所,http://www.bg.ink,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
EXX,https://www.exx.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
Q网,https://www.qbtc.ink/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
COINBIG,https://www.coinbig.org/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
FUBT,https://www.fubt.com,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
币赢国际站,https://www.coinw.ai/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
HCoin,https://www.hcoin86.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
AEX,https://www.aex.plus/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
T网,https://www.tokencan.net,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BTB.io,https://www.btb.io/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
ZT.COM,https://www.zt.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BFX合约平台,https://www.bfx.nu,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
