厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5,0.6
币安网,https://www.binance.com,A,0.9535,无上限,无上限,3.34,0.57
Bithumb,https://www.bithumb.com/,A,0.9302,无上限,无上限,3.26,0.56
OKEX,https://www.okex.com,A,0.8837,无上限,无上限,3.09,0.53
Bitfinex,https://www.bitfinex.com,A,0.8372,无上限,无上限,2.93,0.5
火币全球站,https://www.huobi.co,A,0.814,无上限,无上限,2.85,0.49
Upbit,https://upbit.com/home,A,0.7442,无上限,无上限,2.6,0.45
Liquid,https://www.liquid.com/,A,0.7209,无上限,无上限,2.52,0.43
Coinbase Pro,https://pro.coinbase.com/,A,0.6512,无上限,无上限,2.28,0.39
Bibox,https://www.bibox.com/,A,0.6279,无上限,无上限,2.2,0.38
ZB网,https://www.zb.com,A,0.5814,无上限,无上限,2.03,0.35
DigiFinex,https://www.digifinex.com,A,0.5581,无上限,无上限,1.95,0.33
K网,https://www.kraken.com,A,0.5349,无上限,无上限,1.87,0.32
币网,http://www.bw.com/,A,0.9767,无上限,无上限,3.42,0.59
HitBTC,https://hitbtc.com,A,0.5116,无上限,无上限,1.79,0.31
Bitstamp,https://www.bitstamp.net,A,0.3721,无上限,无上限,1.3,0.22
Bitbank,https://bitbank.cc,A,0.3488,无上限,无上限,1.22,0.21
Bit-Z,https://www.bit-z.pro/,A,0.3023,无上限,无上限,1.06,0.18
KKCoin,https://www.kkcoin.com,A,0.2093,无上限,无上限,0.73,0.13
FCoin,https://www.fcoin.com/,A,0.186,无上限,无上限,0.65,0.11
bitFlyer,https://bitflyer.jp/,A,0.093,无上限,无上限,0.33,0.06
P网,https://poloniex.com,A,0.0698,无上限,无上限,0.24,0.04
币赢国际站,https://www.coinw.me,A,0.0465,无上限,无上限,0.16,0.03
Bit.cc,https://www.bit.cc/,B,0.9846,1.48,0.98,0.59,0.2
BCEX,https://www.bcex.top,B,0.9385,1.41,0.94,0.56,0.19
B网,https://bittrex.com,B,0.9231,1.38,0.92,0.55,0.18
HB.top汇币网,https://hb.top,B,0.9077,1.36,0.91,0.54,0.18
香港富比特,http://www.fubt.top/,B,0.8308,1.25,0.83,0.5,0.17
itBit,https://www.itbit.com,B,0.7692,1.15,0.77,0.46,0.15
双子星,https://gemini.com/,B,0.7538,1.13,0.75,0.45,0.15
加勒比H网,http://hht.one/,B,0.7385,1.11,0.74,0.44,0.15
比特儿海外版,https://gateio.io/,B,0.7231,1.08,0.72,0.43,0.14
币虎全球BihuEX,https://bihuex.com/,B,0.7077,1.06,0.71,0.42,0.14
Coinone,https://coinone.co.kr/,B,0.6923,1.04,0.69,0.42,0.14
ZG.TOP,https://www.zg.top/,B,0.6769,1.02,0.68,0.41,0.14
CoinTiger,https://www.cointiger.pro,B,0.6615,0.99,0.66,0.4,0.13
MXC,http://www.mxc.com,B,0.8462,1.27,0.85,0.51,0.17
满币网,https://www.coinbene.com/,B,0.6308,0.95,0.63,0.38,0.13
DragonEx,https://dragonex.im/,B,0.5846,0.88,0.58,0.35,0.12
YOEXS,https://yoe.im,B,0.5385,0.81,0.54,0.32,0.11
AT交易所,https://www.at3.com/,B,0.5692,0.85,0.57,0.34,0.11
Exrates,https://lk.exrates.me,B,0.5231,0.78,0.52,0.31,0.1
IDCM,https://www.idcm.io/,B,0.4308,0.65,0.43,0.26,0.09
Coincheck,https://coincheck.com/,B,0.4,0.6,0.4,0.24,0.08
胖比特,https://www.fatbtc.com,B,0.3692,0.55,0.37,0.22,0.07
Q网,https://www.myqbtc.com,B,0.3231,0.48,0.32,0.19,0.06
BitBay,https://bitbay.net,B,0.3077,0.46,0.31,0.18,0.06
Exmo,https://exmo.com/,B,0.2923,0.44,0.29,0.18,0.06
YoBit,https://yobit.net,B,0.2,0.3,0.2,0.12,0.04
Allcoin,https://www.allcoinex.io,B,0.1385,0.21,0.14,0.08,0.03
KuCoin,https://www.kucoin.com,B,0.1538,0.23,0.15,0.09,0.03
BTCBOX,https://www.btcbox.co.jp/,B,0.0308,0.05,0.03,0.02,0.01
Zaif,https://zaif.jp,B,0.0154,0.02,0.02,0.01,0.0
HADAX,http://www.hadax.com/zh-cn/,C,1.0,1.2,0.8,0.3,0.1
炒客网,https://www.chaoex.io,C,0.8866,1.06,0.71,0.27,0.09
BTC Markets,https://btcmarkets.net/,C,0.866,1.04,0.69,0.26,0.09
Livecoin,https://www.livecoin.net/,C,0.8454,1.01,0.68,0.25,0.08
OkCoin韩国站,https://www.okcoinkr.com/,C,0.8247,0.99,0.66,0.25,0.08
FEX,https://fexpro.io/,C,0.7938,0.95,0.64,0.24,0.08
酷币,https://www.coolcoin.com,C,0.8041,0.96,0.64,0.24,0.08
柯宾汉,https://www.cobinhood.com/,C,0.7629,0.92,0.61,0.23,0.08
HPX,https://www.hpx.com/,C,0.7216,0.87,0.58,0.22,0.07
DSX,https://dsx.uk,C,0.701,0.84,0.56,0.21,0.07
Luno,https://www.luno.com,C,0.6804,0.82,0.54,0.2,0.07
李逵,https://liqui.io/,C,0.6392,0.77,0.51,0.19,0.06
BX.in.th,https://bx.in.th,C,0.6082,0.73,0.49,0.18,0.06
Tidex,https://tidex.com/,C,0.5773,0.69,0.46,0.17,0.06
C网,https://www.cryptopia.co.nz,C,0.567,0.68,0.45,0.17,0.06
DeBi,https://www.debi.com/,C,0.5567,0.67,0.45,0.17,0.06
Bitso,https://bitso.com,C,0.5464,0.66,0.44,0.16,0.05
xBTCe,https://www.xbtce.com/,C,0.4845,0.58,0.39,0.15,0.05
WEX,https://wex.nz,C,0.433,0.52,0.35,0.13,0.04
Rfinex,https://www.rfinex.com/,C,0.3918,0.47,0.31,0.12,0.04
STEX,https://www.stex.com,C,0.3711,0.45,0.3,0.11,0.04
GDEX,https://www.gdex.io/,C,0.3814,0.46,0.31,0.11,0.04
hellobts,https://www.hellobts.com/,C,0.3608,0.43,0.29,0.11,0.04
YEX,http://yex.com/,C,0.3402,0.41,0.27,0.1,0.03
